x,y_obs_B1_MAPbI2Br_xraydeg_20s_01230708_0030.tif_Azm=_240.00
5,13.238
5.027,13.275
5.053,13.113
5.079,13.231
5.106,13.23
5.132,13.012
5.159,13.249
5.185,13.386
5.211,13.101
5.238,13.082
5.264,13.095
5.29,13.228
5.317,13.417
5.343,13.357
5.37,13.279
5.396,13.343
5.422,13.214
5.449,13.272
5.475,13.468
5.502,13.421
5.528,13.236
5.554,13.291
5.581,13.313
5.607,13.195
5.633,13.238
5.66,13.286
5.686,13.434
5.713,13.59
5.739,13.335
5.765,13.589
5.792,13.553
5.818,13.387
5.845,13.352
5.871,13.349
5.897,13.373
5.924,13.456
5.95,13.544
5.977,13.528
6.003,13.546
6.029,13.527
6.056,13.358
6.082,13.518
6.109,13.358
6.135,13.739
6.161,13.632
6.188,13.783
6.214,13.745
6.24,13.747
6.267,13.709
6.293,13.836
6.32,13.855
6.346,13.68
6.372,13.704
6.399,13.914
6.425,13.709
6.452,13.616
6.478,13.654
6.504,13.931
6.531,13.792
6.557,13.76
6.584,13.7
6.61,13.896
6.636,13.866
6.663,14.031
6.689,13.799
6.716,13.877
6.742,13.763
6.768,13.93
6.795,13.968
6.821,14.087
6.848,13.985
6.874,13.926
6.9,14.032
6.927,13.988
6.953,13.993
6.98,14.177
7.006,14.064
7.032,14.162
7.059,14.085
7.085,13.968
7.112,14.148
7.138,14.201
7.164,14.135
7.191,13.997
7.217,13.975
7.244,14.155
7.27,14.163
7.297,14.157
7.323,14.264
7.349,14.402
7.376,14.559
7.402,14.41
7.429,14.391
7.455,14.255
7.481,14.496
7.508,14.452
7.534,14.623
7.561,14.53
7.587,14.537
7.613,14.6
7.64,14.821
7.666,14.724
7.693,14.55
7.719,14.548
7.746,14.772
7.772,14.815
7.798,14.676
7.825,14.707
7.851,14.594
7.878,15.006
7.904,15.054
7.93,15.273
7.957,15.216
7.983,15.612
8.01,16.406
8.036,17.535
8.063,18.768
8.089,19.47
8.115,19.066
8.142,17.985
8.168,16.486
8.195,15.847
8.221,15.485
8.247,15.131
8.274,15.427
8.3,15.315
8.327,15.196
8.353,15.26
8.38,15.362
8.406,15.18
8.432,15.452
8.459,15.338
8.485,15.451
8.512,15.481
8.538,15.527
8.565,15.55
8.591,15.666
8.617,15.572
8.644,15.491
8.67,15.702
8.697,15.878
8.723,15.885
8.75,15.866
8.776,15.989
8.802,15.834
8.829,16.238
8.855,16.006
8.882,16.46
8.908,16.504
8.935,16.696
8.961,17.104
8.988,17.409
9.014,18.14
9.04,19.415
9.067,21.572
9.093,27.275
9.12,49.07
9.146,126.099
9.173,170.035
9.199,81.347
9.225,35.689
9.252,24.325
9.278,20.336
9.305,18.732
9.331,18.237
9.358,17.835
9.384,17.428
9.411,17.181
9.437,17.177
9.463,17.231
9.49,16.943
9.516,16.876
9.543,16.954
9.569,16.891
9.596,16.886
9.622,16.925
9.649,16.787
9.675,16.712
9.701,16.834
9.728,16.883
9.754,16.905
9.781,16.773
9.807,16.742
9.834,16.928
9.86,16.948
9.887,17.09
9.913,17.029
9.94,17.146
9.966,17.157
9.992,17.062
10.019,17.336
10.045,17.248
10.072,17.35
10.098,17.442
10.125,17.44
10.151,17.596
10.178,17.534
10.204,17.433
10.231,17.699
10.257,17.578
10.284,17.528
10.31,18.08
10.336,17.987
10.363,17.89
10.389,17.877
10.416,18.096
10.442,17.982
10.469,17.981
10.495,18.141
10.522,18.146
10.548,18.156
10.575,17.891
10.601,18.13
10.628,18.398
10.654,18.369
10.681,18.476
10.707,18.242
10.733,18.447
10.76,18.575
10.786,18.778
10.813,19.343
10.839,19.138
10.866,18.584
10.892,18.789
10.919,18.951
10.945,19.08
10.972,19.018
10.998,19.026
11.025,19.045
11.051,19.336
