x,y_obs_C1_MAPbBr50_Xraydeg_20s_01230117_0030.tif_Azm=_240.00
5,13.265
5.027,13.756
5.053,13.352
5.079,13.502
5.106,13.773
5.132,13.343
5.159,13.501
5.185,13.45
5.211,13.175
5.238,13.283
5.264,13.367
5.29,13.523
5.317,13.325
5.343,13.514
5.37,13.764
5.396,13.656
5.422,13.502
5.449,13.581
5.475,13.699
5.502,13.574
5.528,13.444
5.554,13.532
5.581,13.265
5.607,13.657
5.633,13.47
5.66,13.76
5.686,13.677
5.713,13.944
5.739,13.636
5.765,13.624
5.792,13.662
5.818,13.8
5.845,13.804
5.871,13.89
5.897,13.715
5.924,13.733
5.95,13.849
5.977,13.735
6.003,13.697
6.029,13.866
6.056,13.838
6.082,13.894
6.109,13.715
6.135,13.895
6.161,13.739
6.188,14.117
6.214,14.1
6.24,13.876
6.267,13.913
6.293,14.051
6.32,14.003
6.346,14.028
6.372,14.089
6.399,14.13
6.425,13.938
6.452,14.05
6.478,14.002
6.504,14.244
6.531,13.834
6.557,14.212
6.584,14.017
6.61,14.174
6.636,14.146
6.663,14.381
6.689,14.188
6.716,14.006
6.742,14.217
6.768,14.187
6.795,14.005
6.821,14.065
6.848,14.18
6.874,14.249
6.9,14.109
6.927,14.283
6.953,14.325
6.98,14.478
7.006,14.407
7.032,14.203
7.059,14.318
7.085,14.293
7.112,14.406
7.138,14.488
7.164,14.493
7.191,14.545
7.217,14.422
7.244,14.459
7.27,14.315
7.297,14.696
7.323,14.658
7.349,14.665
7.376,14.546
7.402,14.772
7.429,14.671
7.455,14.713
7.481,14.864
7.508,14.892
7.534,14.989
7.561,15.046
7.587,14.859
7.613,15.004
7.64,15.184
7.666,15.178
7.693,15.252
7.719,15.269
7.746,15.41
7.772,15.72
7.798,15.732
7.825,15.858
7.851,15.933
7.878,16.497
7.904,16.783
7.93,17.398
7.957,18.365
7.983,20.55
8.01,24.19
8.036,28.988
8.063,35.414
8.089,39.347
8.115,37.556
8.142,31.422
8.168,25.298
8.195,21.2
8.221,18.737
8.247,17.336
8.274,16.476
8.3,16.248
8.327,16.025
8.353,15.945
8.38,15.874
8.406,16.077
8.432,16.051
8.459,15.968
8.485,16.06
8.512,16.121
8.538,15.871
8.565,16.011
8.591,15.965
8.617,15.917
8.644,15.78
8.67,16.054
8.697,16.103
8.723,16.172
8.75,16.047
8.776,16.166
8.802,16.746
8.829,16.549
8.855,16.512
8.882,16.802
8.908,16.94
8.935,17.082
8.961,17.413
8.988,17.329
9.014,17.606
9.04,18.152
9.067,18.792
9.093,19.626
9.12,20.657
9.146,22.941
9.173,27.966
9.199,41.058
9.225,97.879
9.252,286.887
9.278,333.419
9.305,135.465
9.331,51.091
9.358,30.149
