x,y_obs_E1_MAPbBr75_xraydeg_20s_01222041_0030.tif_Azm=_240.00
5,13.148
5.027,13.36
5.053,13.397
5.079,13.239
5.106,13.294
5.132,13.368
5.159,13.453
5.185,13.403
5.211,13.167
5.238,13.342
5.264,13.502
5.29,13.447
5.317,13.309
5.343,13.385
5.37,13.314
5.396,13.497
5.422,13.161
5.449,13.359
5.475,13.408
5.502,13.229
5.528,13.172
5.554,13.469
5.581,13.112
5.607,13.284
5.633,13.361
5.66,13.262
5.686,13.338
5.713,13.59
5.739,13.494
5.765,13.53
5.792,13.548
5.818,13.67
5.845,13.606
5.871,13.667
5.897,13.751
5.924,13.619
5.95,13.773
5.977,13.667
6.003,13.607
6.029,13.632
6.056,13.529
6.082,13.504
6.109,13.581
6.135,13.741
6.161,13.68
6.188,13.863
6.214,13.668
6.24,13.579
6.267,13.759
6.293,13.632
6.32,13.885
6.346,13.664
6.372,13.772
6.399,13.861
6.425,13.684
6.452,13.771
6.478,13.729
6.504,13.867
6.531,13.823
6.557,13.812
6.584,13.643
6.61,13.946
6.636,13.891
6.663,13.891
6.689,13.909
6.716,13.865
6.742,13.875
6.768,14.114
6.795,14.027
6.821,14.145
6.848,14.043
6.874,13.944
6.9,14.096
6.927,14.138
6.953,14.057
6.98,14.137
7.006,14.144
7.032,14.269
7.059,14.099
7.085,14.342
7.112,14.234
7.138,14.383
7.164,14.237
7.191,14.381
7.217,14.11
7.244,14.173
7.27,14.36
7.297,14.286
7.323,14.392
7.349,14.324
7.376,14.518
7.402,14.227
7.429,14.377
7.455,14.566
7.481,14.457
7.508,14.348
7.534,14.556
7.561,14.628
7.587,14.557
7.613,14.868
7.64,14.848
7.666,14.816
7.693,14.94
7.719,14.647
7.746,14.723
7.772,14.908
7.798,15.023
7.825,15.212
7.851,15.194
7.878,15.253
7.904,15.337
7.93,15.34
7.957,15.231
7.983,15.597
8.01,15.765
8.036,16.274
8.063,16.64
8.089,17.05
8.115,16.857
8.142,16.534
8.168,15.908
8.195,15.786
8.221,15.722
8.247,15.342
8.274,15.52
8.3,15.444
8.327,15.383
8.353,15.629
8.38,15.491
8.406,15.581
8.432,15.437
8.459,15.55
8.485,15.717
8.512,15.726
8.538,15.679
8.565,15.782
8.591,15.722
8.617,15.643
8.644,15.82
8.67,15.955
8.697,16.05
8.723,16.05
8.75,15.948
8.776,16.161
8.802,16.287
8.829,16.495
8.855,16.298
8.882,16.814
8.908,16.812
8.935,16.943
8.961,17.216
8.988,17.426
9.014,17.713
9.04,18.081
9.067,18.935
9.093,19.956
9.12,22.325
9.146,26.602
9.173,33.547
9.199,44.657
9.225,59.091
9.252,75.406
9.278,94.911
9.305,117.248
9.331,145.167
9.358,183.652
9.384,232.793
9.411,277.791
9.437,297.977
9.463,265.747
9.49,179.57
9.516,80.059
9.543,37.824
9.569,26.898
9.596,23.174
9.622,21.319
9.649,20.146
9.675,19.279
9.701,18.766
9.728,18.417
9.754,18.18
9.781,17.785
9.807,17.847
9.834,17.731
9.86,17.494
9.887,17.715
9.913,17.594
9.94,17.44
9.966,17.538
9.992,17.373
10.019,17.401
10.045,17.603
10.072,17.597
10.098,17.444
10.125,17.511
10.151,17.642
10.178,17.512
10.204,17.418
10.231,17.443
10.257,17.627
10.284,17.698
10.31,17.936
10.336,17.628
10.363,17.843
10.389,17.69
10.416,17.794
10.442,17.751
10.469,17.718
10.495,17.886
10.522,17.898
10.548,17.976
10.575,18.101
10.601,17.915
10.628,17.948
10.654,18.145
10.681,18.155
10.707,18.193
10.733,18.266
10.76,18.256
10.786,18.372
10.813,18.496
10.839,18.796
10.866,18.398
10.892,18.515
10.919,18.728
10.945,18.539
10.972,18.589
10.998,18.742
11.025,18.946
11.051,18.803
11.078,18.716
11.104,18.843
11.131,18.975
11.157,19.165
11.184,19.017
11.21,19.102
11.237,19.152
11.263,19.18
11.289,19.327
11.316,19.434
11.342,19.297
11.369,19.518
11.395,19.563
11.422,19.362
11.448,19.544
11.475,19.442
11.501,19.521
11.528,19.801
11.554,19.889
11.581,19.869
11.607,19.87
11.634,19.832
11.66,20.191
11.687,20.08
11.713,20.092
11.74,20.202
11.766,20.315
11.793,20.132
11.819,19.991
11.846,20.161
11.872,20.473
11.899,20.518
11.925,20.559
11.952,20.704
11.978,20.615
12.005,20.581
12.031,20.626
12.058,20.737
12.084,20.742
12.111,20.928
12.137,20.891
12.164,21.038
12.19,21.139
12.217,21.257
12.243,21.324
12.27,21.328
12.296,21.405
12.323,21.589
12.349,21.582
12.376,21.76
12.402,21.685
12.429,21.645
12.455,21.836
12.482,21.943
12.508,21.814
12.535,22.006
12.561,21.956
12.588,22.228
12.614,22.184
12.641,22.092
12.667,22.189
12.694,22.337
12.721,22.479
12.747,22.437
12.774,22.483
12.8,22.264
12.827,22.649
12.853,22.832
12.88,22.743
12.906,22.901
12.933,23.053
12.959,23.198
12.986,23.08
13.012,23.25
13.039,23.117
13.065,23.111
13.092,23.181
13.118,23.298
13.145,23.568
13.171,23.67
13.198,23.931
13.224,23.536
13.251,23.641
13.278,23.805
13.304,23.802
13.331,23.862
13.357,23.991
13.384,24.184
13.41,24.038
13.437,24.119
13.463,24.127
13.49,24.089
13.516,24.313
13.543,24.45
13.569,24.436
13.596,24.417
13.623,24.434
13.649,24.428
13.676,24.596
13.702,24.65
13.729,24.387
13.755,24.566
13.782,24.802
13.808,24.857
13.835,24.929
13.861,24.999
13.888,25.045
13.915,24.906
13.941,25.01
13.968,25.045
13.994,25.271
14.021,25.227
14.047,25.3
14.074,25.436
14.1,25.457
14.127,25.604
14.154,25.683
14.18,25.442
14.207,25.336
14.233,25.492
14.26,25.641
14.286,25.614
14.313,25.803
14.339,25.897
14.366,25.965
14.393,25.857
14.419,25.923
14.446,26.068
14.472,25.986
14.499,25.916
14.525,26.002
14.552,26.101
14.579,26.013
14.605,26.074
14.632,26.035
14.658,26.475
14.685,26.217
14.711,26.231
14.738,26.296
14.765,26.27
14.791,26.429
14.818,26.357
14.844,26.321
14.871,26.438
14.897,26.611
14.924,26.335
14.951,26.424
14.977,26.652
15.004,26.492
15.03,26.704
15.057,26.521
15.084,26.508
15.11,26.622
15.137,26.633
15.163,26.68
15.19,26.616
15.216,26.685
15.243,26.42
15.27,26.745
15.296,26.901
15.323,26.741
15.349,26.826
15.376,26.852
15.403,26.868
15.429,26.57
15.456,26.768
15.482,26.881
15.509,27.058
15.536,26.837
15.562,26.839
15.589,27.099
15.615,26.903
15.642,26.824
15.669,26.964
15.695,26.915
15.722,26.755
15.748,26.675
15.775,27.049
15.802,27.302
15.828,26.957
15.855,27.039
15.881,27.031
15.908,27.13
15.935,26.964
15.961,26.871
15.988,26.945
16.015,27.042
16.041,26.954
16.068,27.188
16.094,27.101
16.121,27.188
16.148,26.879
16.174,26.841
16.201,26.813
16.227,26.77
16.254,27.004
16.281,26.98
16.307,27.013
16.334,26.848
16.361,26.991
16.387,26.911
16.414,26.776
16.44,26.799
16.467,26.981
16.494,26.988
16.52,27.068
16.547,26.909
16.574,26.954
16.6,26.888
16.627,26.975
16.654,26.895
16.68,26.768
16.707,26.968
16.733,27.012
16.76,26.681
16.787,26.839
16.813,26.587
16.84,26.768
16.867,26.897
16.893,26.793
16.92,26.835
16.947,26.924
16.973,26.639
17,26.762
17.027,26.867
17.053,26.868
17.08,26.772
17.106,26.724
17.133,26.728
17.16,26.829
17.186,26.854
17.213,26.626
17.24,26.817
17.266,26.919
17.293,26.904
17.32,26.816
17.346,26.841
17.373,26.69
17.4,26.77
17.426,26.678
17.453,26.632
17.48,26.72
17.506,26.802
17.533,26.913
17.56,26.735
17.586,26.674
17.613,26.681
17.64,26.693
17.666,26.733
17.693,26.7
17.72,26.786
17.746,26.821
17.773,26.886
17.8,26.943
17.826,26.806
17.853,26.756
17.88,26.806
17.906,26.879
17.933,26.814
17.96,26.656
17.986,26.685
18.013,26.56
18.04,26.838
18.067,26.859
18.093,26.801
18.12,26.817
18.147,26.654
18.173,26.755
18.2,26.725
18.227,26.853
18.253,27.009
18.28,26.871
18.307,26.839
18.333,26.794
18.36,27.01
18.387,26.994
18.414,27.138
18.44,27.339
18.467,27.531
18.494,27.504
18.52,27.814
18.547,28.015
18.574,28.215
18.6,28.299
18.627,28.471
18.654,28.847
18.681,29.11
18.707,29.721
18.734,30.031
18.761,30.516
18.787,30.893
18.814,31.893
18.841,32.641
18.868,33.708
18.894,34.551
18.921,34.786
18.948,35.595
18.974,35.027
19.001,34.403
19.028,33.295
19.055,31.797
19.081,29.479
19.108,27.938
19.135,27.227
19.162,26.93
19.188,26.928
19.215,26.471
19.242,26.514
19.268,26.72
19.295,26.623
19.322,26.539
19.349,26.605
19.375,26.532
19.402,26.492
19.429,26.517
19.456,26.415
19.482,26.327
19.509,26.347
19.536,26.203
19.563,26.251
19.589,26.429
19.616,26.39
19.643,26.341
19.67,26.262
19.696,26.338
19.723,26.294
19.75,26.296
19.777,26.416
19.803,26.363
19.83,26.348
19.857,26.319
19.884,26.482
19.91,26.308
19.937,26.164
19.964,26.125
19.991,26.01
20.017,26.045
20.044,26.093
20.071,26.168
20.098,25.962
20.124,25.924
20.151,26.174
20.178,26.019
20.205,25.779
20.231,25.864
20.258,26.081
20.285,25.995
20.312,25.697
20.339,26.029
20.365,25.789
20.392,25.823
20.419,25.758
20.446,26.146
20.472,25.956
20.499,25.53
20.526,25.801
20.553,25.831
20.58,25.99
20.606,26.136
20.633,26.073
20.66,26.241
20.687,26.611
20.714,26.485
20.74,26.701
20.767,26.917
20.794,27.049
20.821,27.169
20.848,27.539
20.874,27.801
20.901,28.254
20.928,28.371
20.955,28.593
20.982,29.085
21.008,29.609
21.035,29.961
21.062,30.979
21.089,31.77
21.116,32.096
21.142,32.904
21.169,33.513
21.196,33.964
21.223,34.064
21.25,34.133
21.276,33.798
21.303,32.771
21.33,31.116
21.357,29.232
21.384,27.414
21.411,26.257
21.437,25.692
21.464,25.423
21.491,25.362
21.518,25.203
21.545,25.053
21.571,25.027
21.598,25.029
21.625,24.842
21.652,24.802
21.679,24.638
21.706,24.605
21.732,24.666
21.759,24.738
21.786,24.591
21.813,24.728
21.84,31.806
21.867,24.671
21.894,24.605
21.92,24.493
21.947,24.561
21.974,24.553
22.001,24.42
22.028,24.351
22.055,24.599
22.081,24.6
22.108,24.478
22.135,24.58
22.162,24.305
22.189,24.37
22.216,24.232
22.243,24.252
22.269,24.164
22.296,24.215
22.323,24.291
22.35,24.173
22.377,24.08
22.404,24.043
22.431,24.166
22.458,24.366
22.484,24.163
22.511,24.133
22.538,24.076
22.565,23.908
22.592,23.981
22.619,24.049
22.646,23.997
22.672,23.915
22.699,23.797
22.726,23.876
22.753,23.845
22.78,24.006
22.807,23.907
22.834,23.885
22.861,23.856
22.888,23.974
22.914,23.942
22.941,23.855
22.968,23.799
22.995,24.106
23.022,24.089
23.049,24.07
23.076,23.828
23.103,23.951
23.13,23.92
23.157,23.9
23.183,23.819
23.21,23.949
23.237,23.893
23.264,23.831
23.291,23.795
23.318,23.783
23.345,23.758
23.372,23.738
23.399,23.635
23.426,23.602
23.453,23.642
23.479,23.604
23.506,23.638
23.533,23.604
23.56,23.397
23.587,23.499
23.614,23.711
23.641,23.582
23.668,23.473
23.695,23.462
23.722,23.649
23.749,23.317
23.776,23.589
23.803,23.48
23.83,23.372
23.856,23.439
23.883,23.639
23.91,23.645
23.937,23.659
23.964,23.613
23.991,23.561
24.018,23.519
24.045,23.504
24.072,23.625
24.099,23.571
24.126,23.594
24.153,23.666
24.18,23.513
24.207,23.601
24.234,23.402
24.261,23.528
24.288,23.636
24.315,23.402
24.342,23.44
24.368,23.423
24.395,23.543
24.422,23.483
24.449,23.452
24.476,23.756
24.503,23.63
24.53,23.625
24.557,23.461
24.584,23.616
24.611,23.55
24.638,23.644
24.665,23.526
24.692,23.497
24.719,23.63
24.746,23.717
24.773,23.774
24.8,23.706
24.827,23.714
24.854,23.625
24.881,23.627
24.908,23.67
24.935,23.7
24.962,23.694
24.989,23.93
25.016,23.737
25.043,23.631
25.07,23.752
25.097,23.785
25.124,23.759
25.151,23.764
25.178,23.928
25.205,23.587
25.232,23.714
25.259,23.911
25.286,23.826
25.313,23.918
25.34,23.853
25.367,23.902
25.394,23.918
25.421,23.88
25.448,23.832
25.475,24.04
25.502,24.078
25.529,24.093
25.556,24.141
25.583,24.09
25.61,23.95
25.637,24
25.664,23.941
25.691,23.846
25.718,24.15
25.745,24.267
25.772,24.16
25.799,24.199
25.827,24.199
25.854,24.254
25.881,24.362
25.908,24.284
25.935,24.155
25.962,24.292
25.989,24.383
26.016,24.347
26.043,24.278
26.07,24.469
26.097,24.47
26.124,24.428
26.151,24.461
26.178,24.617
26.205,24.538
26.232,24.212
26.259,24.277
26.286,24.6
26.313,24.49
26.341,24.68
26.368,24.677
26.395,24.559
26.422,24.642
26.449,24.587
26.476,24.479
26.503,24.433
26.53,24.69
26.557,24.762
26.584,24.718
26.611,24.724
26.638,24.688
26.665,24.654
26.693,24.785
26.72,24.814
26.747,24.781
26.774,24.664
26.801,24.852
26.828,24.968
26.855,24.883
26.882,25.074
26.909,24.975
26.936,24.986
26.963,25.035
26.991,25.008
27.018,25.034
27.045,24.962
27.072,24.964
27.099,24.994
27.126,24.99
27.153,24.926
27.18,25.083
27.207,25.042
27.235,25.013
27.262,25.105
27.289,25.008
27.316,24.933
27.343,25.003
27.37,25.115
27.397,24.964
27.424,25.089
27.452,25.052
27.479,25.316
27.506,25.112
27.533,25.215
27.56,25.151
27.587,24.97
