x,y_obs_C1_MAPbBr50_Xraydeg_20s_01230117_0001.tif_Azm=_240.00
5,13.3
5.027,13.39
5.053,13.528
5.079,13.298
5.106,13.442
5.132,13.513
5.159,13.67
5.185,13.648
5.211,13.254
5.238,13.266
5.264,13.419
5.29,13.652
5.317,13.452
5.343,13.588
5.37,13.504
5.396,13.706
5.422,13.446
5.449,13.471
5.475,13.522
5.502,13.666
5.528,13.541
5.554,13.814
5.581,13.382
5.607,13.525
5.633,13.611
5.66,13.663
5.686,13.686
5.713,13.872
5.739,13.699
5.765,13.703
5.792,13.715
5.818,13.713
5.845,13.855
5.871,13.713
5.897,13.69
5.924,13.866
5.95,14.128
5.977,13.914
6.003,13.764
6.029,13.927
6.056,14.028
6.082,13.774
6.109,13.8
6.135,13.903
6.161,13.828
6.188,13.978
6.214,13.897
6.24,13.854
6.267,13.961
6.293,14.028
6.32,13.905
6.346,13.95
6.372,14.055
6.399,14.087
6.425,14.108
6.452,14.099
6.478,14.189
6.504,14.226
6.531,14.128
6.557,14.153
6.584,13.848
6.61,14.099
6.636,14.057
6.663,14.049
6.689,14.111
6.716,14.202
6.742,14.106
6.768,14.295
6.795,14.25
6.821,14.338
6.848,14.408
6.874,14.245
6.9,14.264
6.927,14.365
6.953,14.362
6.98,14.574
7.006,14.312
7.032,14.226
7.059,14.573
7.085,14.416
7.112,14.6
7.138,14.615
7.164,14.555
7.191,14.501
7.217,14.363
7.244,14.353
7.27,14.444
7.297,14.708
7.323,14.6
7.349,14.667
7.376,14.608
7.402,14.788
7.429,14.689
7.455,14.682
7.481,14.665
7.508,14.835
7.534,14.88
7.561,15.2
7.587,15.143
7.613,15.136
7.64,15.196
7.666,15.266
7.693,15.285
7.719,15.527
7.746,15.554
7.772,15.552
7.798,15.598
7.825,15.819
7.851,15.9
7.878,16.526
7.904,16.962
7.93,17.409
7.957,18.383
7.983,20.623
8.01,24.411
8.036,29.315
8.063,36.196
8.089,39.461
8.115,37.498
8.142,31.844
8.168,25.41
8.195,21.33
8.221,18.822
8.247,17.392
8.274,16.672
8.3,16.333
8.327,16.163
8.353,16.147
8.38,16.111
8.406,15.943
8.432,16.059
8.459,16.134
8.485,16.193
8.512,15.905
8.538,15.97
8.565,16.011
8.591,16.165
8.617,15.983
8.644,16.006
8.67,16.144
8.697,16.193
8.723,16.151
8.75,16.269
8.776,16.242
8.802,16.321
8.829,16.563
8.855,16.594
8.882,16.822
8.908,17.102
8.935,17.226
8.961,17.357
8.988,17.465
9.014,17.539
9.04,18.023
9.067,18.855
9.093,19.699
9.12,20.98
9.146,23.286
9.173,28.151
