x,y_obs_E1_MAPbBr75_xraydeg_20s_01222041_0001.tif_Azm=_240.00
5,13.424
5.027,13.389
5.053,13.491
5.079,13.623
5.106,13.548
5.132,13.59
5.159,13.6
5.185,13.538
5.211,13.23
5.238,13.194
5.264,13.2
5.29,13.431
5.317,13.337
5.343,13.594
5.37,13.356
5.396,13.529
5.422,13.293
5.449,13.474
5.475,13.625
5.502,13.554
5.528,13.323
5.554,13.632
5.581,13.626
5.607,13.683
5.633,13.623
5.66,13.48
5.686,13.595
5.713,13.663
5.739,13.626
5.765,13.767
5.792,13.565
5.818,13.541
5.845,13.708
5.871,13.686
5.897,13.679
5.924,13.629
5.95,13.841
5.977,13.828
6.003,13.796
6.029,13.783
6.056,13.515
6.082,13.806
6.109,13.832
6.135,13.865
6.161,13.797
6.188,13.807
6.214,13.825
6.24,13.775
6.267,13.768
6.293,13.891
6.32,13.937
6.346,13.938
6.372,14.123
6.399,14.098
6.425,14.034
6.452,14.077
6.478,13.839
6.504,13.835
6.531,14.052
6.557,14.033
6.584,14.002
6.61,14.006
6.636,14.205
6.663,14.223
6.689,14.041
6.716,14.11
6.742,14.044
6.768,14.134
6.795,14.111
6.821,14.158
6.848,14.194
6.874,14.171
6.9,14.218
6.927,14.272
6.953,14.257
6.98,14.352
7.006,14.027
7.032,14.137
7.059,14.171
7.085,14.165
7.112,14.329
7.138,14.325
7.164,14.485
7.191,14.408
7.217,14.379
7.244,14.276
7.27,14.481
7.297,14.542
7.323,14.539
7.349,14.258
7.376,14.511
7.402,14.27
7.429,14.569
7.455,14.664
7.481,14.747
7.508,14.595
7.534,14.651
7.561,14.651
7.587,14.644
7.613,14.703
7.64,14.719
7.666,14.802
7.693,15.027
7.719,14.928
7.746,14.984
7.772,15.174
7.798,15.066
7.825,15.143
7.851,14.938
7.878,15.333
7.904,15.599
7.93,15.57
7.957,15.652
7.983,15.748
8.01,15.967
8.036,16.388
8.063,17.057
8.089,17.368
8.115,17.057
8.142,16.711
8.168,16.275
8.195,15.999
8.221,15.844
8.247,15.754
8.274,15.568
8.3,15.486
8.327,15.511
8.353,15.868
8.38,15.752
8.406,15.599
8.432,15.879
8.459,15.883
8.485,15.848
8.512,15.786
8.538,15.935
8.565,15.84
8.591,16.017
8.617,16.079
8.644,15.877
8.67,16.099
8.697,16.145
8.723,16.282
8.75,16.211
8.776,16.414
8.802,16.571
8.829,16.501
8.855,16.501
8.882,17.016
8.908,17.183
8.935,17.316
8.961,17.475
8.988,17.588
9.014,17.994
9.04,18.559
9.067,19.527
9.093,21.18
9.12,24.239
9.146,29.373
9.173,37.9
9.199,50.532
9.225,64.519
